instance,family,keep,K,customers,num_seeds,pool_size_before_cap,master_pool_cap,pool_size,best_single_lns_score,ortools_seconds,ortools_solved,ortools_score,exact_seconds,exact_feasible,exact_score,neal_seconds,neal_valid_samples,neal_num_reads,neal_best_score,swap_seconds,swap_valid,swap_restarts,swap_best_score,total_seconds
rc105,RC,70,7,70,8,41,600,41,4051.7723737820625,30.00231089256704,True,4033.8017548112766,0.001376049593091011,True,3928.505046607449,0.6932438341900706,24,1000,3987.500841657891,6.72625604365021,200,200,3928.505046607449,1561.5870940322056
rc105,RC,100,9,100,8,203,600,203,10571.088273766354,30.004435127601027,True,10958.539903117244,0.14681365806609392,True,9819.686997856796,7.579123567789793,0,1000,,10.901352861896157,38,200,10085.372369757524,2371.680937740952
rc106,RC,70,7,70,8,291,600,291,3878.1507157490373,30.00296804215759,True,3200.484580863422,0.4742768183350563,True,3108.520874388966,13.63300168979913,0,1000,,8.237482123076916,86,200,3354.2075287956145,1669.1552536161616
rc106,RC,100,9,100,8,222,600,222,8157.160850280462,30.003455488942564,True,7933.228782610371,4.082816858775914,True,6540.678967662294,8.909878380596638,0,1000,,10.52424756065011,118,200,6684.611552548554,2361.1946990704164
rc107,RC,70,7,70,8,170,600,170,1752.206951735866,30.002695585601032,True,1309.4398325924892,0.04902238864451647,True,1541.6223626657559,5.573602017946541,1,1000,2009.9019438490081,7.801700674928725,156,200,1685.8250841159206,1651.8553257137537
rc107,RC,100,9,100,8,468,600,468,5930.947331343741,30.003338023088872,True,4894.504333252188,41.046685827896,True,4526.762473885825,29.477792082354426,0,1000,,11.0156793538481,10,200,5940.549802683687,2421.0572937754914
rc108,RC,70,7,70,8,282,600,282,1327.6139935063738,30.002641863189638,True,1043.8477232941395,0.3072900101542473,True,1211.6663432657924,12.720821359194815,2,1000,1450.648441179691,7.980842656455934,76,200,1286.1519571756926,1716.969932133332
rc108,RC,100,9,100,8,267,600,267,3539.30498887691,30.00353771261871,True,3184.2784011766253,3.921005005016923,True,2774.533258664611,11.875391757115722,2,1000,3207.250873834652,10.840674567967653,85,200,3112.239202820309,2348.265527050011
rc201,RC,70,2,70,8,2150,600,600,35328.28630728797,30.00378348119557,True,19416.34748942642,0.008428016677498817,True,21082.405842740613,38.220971236005425,6,1000,26682.940821487857,7.923508494161069,167,200,21082.405842740613,8543.995401206426
rc201,RC,100,2,100,8,404,600,404,65905.14358608231,30.003136266954243,True,75304.95123701228,0.00625044759362936,True,52438.81905754024,17.835333798080683,41,1000,52438.81905754024,10.794142462313175,200,200,52438.819057540226,21786.86453556642
rc202,RC,70,2,70,8,198,600,198,2824.4625297770554,30.00205738749355,True,4640.3997165599185,0.0019140075892210007,True,2218.5711265289756,5.549139172770083,57,1000,2218.5711265289756,7.81763169914484,200,200,2218.571126528975,8609.833064201288
rc202,RC,100,2,100,8,1226,600,600,34576.65879334614,30.00725386571139,True,39129.91949951242,0.010849102400243282,True,25229.60908565096,36.45490499492735,7,1000,26100.28607584001,10.476071096025407,187,200,25229.60908565096,22009.607332821935
rc203,RC,70,2,70,8,276,600,276,1153.5061469268915,30.003556536510587,True,1012.3323164143483,0.0031055016443133354,True,1103.1355797362978,9.7758514219895,25,1000,1103.1355797362978,7.607608466409147,200,200,1103.135579736298,8333.814538878389
rc203,RC,100,2,100,8,286,600,286,15990.761288485008,30.003618511371315,True,17186.41785224007,0.003654640167951584,True,9304.476760960491,10.067567229270935,25,1000,9535.828482893436,10.56870811805129,200,200,9535.828482893434,22057.29405381251
rc204,RC,70,2,70,8,362,600,362,756.9413363682788,30.00248248130083,True,653.3056097254271,0.0043230438604950905,True,675.0884591841352,15.880792674608529,32,1000,725.6750094056842,7.720470960251987,200,200,675.0884591841352,8434.352391486056
rc204,RC,100,2,100,8,608,600,600,4321.103048020021,30.004045866429806,True,5170.200620561776,0.00830258522182703,True,2068.6245489322373,35.322961900383234,29,1000,2068.6245489322373,10.622298731468618,200,200,2123.7056327800624,21058.41642622091
rc205,RC,70,2,70,8,68,600,68,4418.736740075774,30.00284333433956,True,3459.399204508292,0.0007331585511565208,True,3490.124779344699,1.1084470180794597,77,1000,3490.124779344699,7.483781915158033,200,200,3490.124779344699,8345.34157775715
rc205,RC,100,2,100,8,332,600,332,45693.085704633784,30.003839572891593,True,54912.7640534863,0.0051309699192643166,True,38972.38425110246,12.744563388638198,42,1000,38972.38425110246,10.647239004261792,200,200,40163.593253681785,21389.51061544381
rc206,RC,70,2,70,8,2100,600,600,16153.50578408006,30.003697134554386,True,2310.341071728966,0.005767527036368847,True,6176.294499610972,38.59398726467043,2,1000,8273.34130811469,7.938768675550818,114,200,6176.294499610972,8552.049247345887
rc206,RC,100,2,100,8,538,600,538,34953.7823774326,30.004171990789473,True,38127.98888670006,0.00874459370970726,True,28067.095827440102,28.957537808455527,31,1000,30413.31451004686,10.514814546331763,200,200,29234.53765577943,21485.865645241924
rc207,RC,70,2,70,8,232,600,232,1019.3913783794646,30.005550367757678,True,927.3969315381077,0.0027809543535113335,True,895.9830822213236,7.303272707387805,33,1000,924.6863609488641,7.676432869397104,200,200,895.9830822213236,8319.536303207278
rc207,RC,100,2,100,8,450,600,450,26118.40831995411,30.00316310953349,True,30532.060771927507,0.006763579323887825,True,16558.07243109165,21.358519890345633,33,1000,17859.49466684625,10.736245980486274,200,200,16821.636602175466,21299.066070201807
rc208,RC,70,2,70,8,770,600,600,797.4638606766432,30.002068382687867,True,691.3147063767813,0.0076560452580451965,True,695.5105172989628,38.02075545489788,30,1000,748.6962765179285,7.925826266407967,199,200,741.8590666500259,8286.098110313527
rc208,RC,100,2,100,8,578,600,578,11106.660872442408,30.005130535922945,True,7524.5823759384175,0.007962452247738838,True,5267.60458191362,33.77272633742541,32,1000,7370.32579200259,11.080441190861166,200,200,5267.604581913621,21232.88382527791
